PolicyID,PolicyName,PolicyIntro,pol_intro,Special_Key
pol_87,청년 Pre-Job 지원 사업,지역 청년에게 지역 공공기관·비영리기관에서의 일경험과 직무교육의 기회 제공,지역 청년에게 지역 공공기관·비영리기관에서의 일경험과 직무교육의 기회 제공,
pol_864,농업계고 영농정착지원,"지역 농업계고 학생들의 안정적인 영농정착을 위해 입학에서부터 졸업까지 체계적인 교육프로그램 운영비 지원  농산업, 농업인, 영농종사자",지역 농업계고 학생들의 안정적인 영농정착을 위해 입학에서부터 졸업까지 체계적인 교육프로그램 운영비 지원,"농산업, 농업인, 영농종사자"
pol_852,관광 청년인턴제 지원사업,도내 학생 또는 관광관련 대학 및 특성화고등학교 재학 또는 졸업생을 대상으로 적성과 전공을 고려한 직업체험으로 진로탐색 기회 제공 및 청년인력 매칭으로 관광사업체 활성화,도내 학생 또는 관광관련 대학 및 특성화고등학교 재학 또는 졸업생을 대상으로 적성과 전공을 고려한 직업체험으로 진로탐색 기회 제공 및 청년인력 매칭으로 관광사업체 활성화,
pol_85,대학생 청년인턴 사업,달서구에 주소를 둔 만 29세 이하 대학 재학(휴학)생에게 다양한 행정분야에서 업무 경험 제공,달서구에 주소를 둔 만 29세 이하 대학 재학(휴학)생에게 다양한 행정분야에서 업무 경험 제공,
pol_83,청년사업장-청년잇기 예스매칭,"미취업청년과 지역사업장을 매칭하여 청년에게는 진로탐색을 위한 일경험을 제공하고 사업장에는 인력 및 인건비 지원.
지역 청년의 새로운 일 경험과 진로 탐색을 지원하기 위해 청년사업장과 청년을 이어주는 사업에 참여할 청년사업장을 공모 및 지역의 청년사업장을 발굴하여 꼭 맞는 청년과 적절한 매칭이 되도록 하고 청년이 주체적으로 성장 할 수 있도록 청년사업장과 함께 협력하기 위한 정책 저소득층","미취업청년과 지역사업장을 매칭하여 청년에게는 진로탐색을 위한 일경험을 제공하고 사업장에는 인력 및 인건비 지원.
지역 청년의 새로운 일 경험과 진로 탐색을 지원하기 위해 청년사업장과 청년을 이어주는 사업에 참여할 청년사업장을 공모 및 지역의 청년사업장을 발굴하여 꼭 맞는 청년과 적절한 매칭이 되도록 하고 청년이 주체적으로 성장 할 수 있도록 청년사업장과 함께 협력하기 위한 정책",저소득층
pol_822,초보 청년농부 멘토링 지원,"농촌지역에 정착 예정인 초보 농업인에게 영농기술 및 품질관리, 경영.마케팅 등 현장 실습체험을 통하여 안정적인 영농정착 지원 ","농촌지역에 정착 예정인 초보 농업인에게 영농기술 및 품질관리, 경영.마케팅 등 현장 실습체험을 통하여 안정적인 영농정착 지원",
pol_813,문경시 일자리박람회,"문경 및 경북북부지역 구직자들에게 다양한 취업정보를 제공하고, 구인기업체에 인력공급을 지원하여 고용안정 및 지역경제활성화 기여  ","문경 및 경북북부지역 구직자들에게 다양한 취업정보를 제공하고, 구인기업체에 인력공급을 지원하여 고용안정 및 지역경제활성화 기여 ",
pol_810,청년스타트업 지원사업,관내 특성화 고교 재학생 및 졸업생의 진로탐색 기회 및 역량강화 프로그램 운영,관내 특성화 고교 재학생 및 졸업생의 진로탐색 기회 및 역량강화 프로그램 운영,
pol_793,청년 취업날개 코디네이터,취업대비 입사면접용 남녀 정장(구두포함) 무료 대여,취업대비 입사면접용 남녀 정장(구두포함) 무료 대여,
pol_791,조기취업형 계약학과 육성사업,조기취업형 계약학과 육성지원,조기취업형 계약학과 육성지원,
pol_790,청년 지역일꾼 육성프로젝트,청년 취업역량 강화 교육 등,청년 취업역량 강화 교육 등,
pol_79,대학생 취업패키지 지원사업(희망옷장),고교 졸업예정자 및 청년구직자에게 면접정장을 무료로 대여하여 구직활동에 대한 경제적 부담을 경감하고 적극적 구직활동 지원  지역인재,고교 졸업예정자 및 청년구직자에게 면접정장을 무료로 대여하여 구직활동에 대한 경제적 부담을 경감하고 적극적 구직활동 지원,지역인재
pol_787,청년지역일꾼 육성프로젝트,"청년창업지원 경영실습 멘토링 및 체험  창업, 창업자",청년창업지원 경영실습 멘토링 및 체험,"창업, 창업자"
pol_780,청년구직활동수당지원사업,"청년실업률 상승, 취업 소요기간 장기화 등 청년실업의 사회문제 해결과 청년취업을 장려하고 실질적인 취업활동 지원 ","청년실업률 상승, 취업 소요기간 장기화 등 청년실업의 사회문제 해결과 청년취업을 장려하고 실질적인 취업활동 지원",
pol_778,경남형 뉴딜 일자리사업,"지역사회에서 필요한 서비스를 제공하고, 참여 청년에게는 질 좋은 일 경험 기회를 제공하고 청년의 직업역량을 배양하여 민간일자리 진입을 촉진 ","지역사회에서 필요한 서비스를 제공하고, 참여 청년에게는 질 좋은 일 경험 기회를 제공하고 청년의 직업역량을 배양하여 민간일자리 진입을 촉진",
pol_748,청년 내 일 희망 일자리사업,지역의 미취업 청년들에게 다양한 일 경험을 제공하고 직업역량을 배양하여 민간 일자리 진입 촉진,지역의 미취업 청년들에게 다양한 일 경험을 제공하고 직업역량을 배양하여 민간 일자리 진입 촉진,
pol_74,청년학교,청년들이 선호하는 과목 선정 및 특강 제공,청년들이 선호하는 과목 선정 및 특강 제공,
pol_719,경남형 뉴딜일자리사업,"(지역주도형 청년일자리사업) 미취업청년에게 지역 현장형 일경험 기회를 제공하고, 진로설계교육 및 취.창업 컨설팅을 실시하여 민간 일자리 진입을 촉진 ","(지역주도형 청년일자리사업) 미취업청년에게 지역 현장형 일경험 기회를 제공하고, 진로설계교육 및 취.창업 컨설팅을 실시하여 민간 일자리 진입을 촉진",
pol_70,기능인력 청년인턴 장려금 지원,관내 중소기업에 근무하는 청년 기능인력에 장려금 지원  재직자,관내 중소기업에 근무하는 청년 기능인력에 장려금 지원,재직자
pol_680,공공근로사업,"경제적 여건이 어려운 실업자 또는 정기 소득이 없는 취약계층에게 일자리 제공
지역의 특성과 자율성을 반영한 지역주도형 일자리 창출 ","경제적 여건이 어려운 실업자 또는 정기 소득이 없는 취약계층에게 일자리 제공
지역의 특성과 자율성을 반영한 지역주도형 일자리 창출",
pol_668,농촌체험휴양마을 청년사무장 채용지원사업,"농촌체험휴양마을에 청년사무장을 채용하여 활동비, 교육비 등을 지원함으로써 농촌관광 활성화 도모 ","농촌체험휴양마을에 청년사무장을 채용하여 활동비, 교육비 등을 지원함으로써 농촌관광 활성화 도모",
pol_661,2020년 청년농업인 취농인턴제 사업,"농촌인구 감소와 고령화 등 농촌 공동화로 신규 농업인력 확보를 위한 청년 농업인 활성화 도모하고, 선도 농업법인 등에서의 청년 실무연수를 통해 농업에 관심 있는 젊은 인력의 신규유입과 역량강화를 지원하고, 농업법인 등에게는 유능한 인재를 보다 용이하게 확보하도록 하여 농업의 경쟁력을 제고 ","농촌인구 감소와 고령화 등 농촌 공동화로 신규 농업인력 확보를 위한 청년 농업인 활성화 도모하고, 선도 농업법인 등에서의 청년 실무연수를 통해 농업에 관심 있는 젊은 인력의 신규유입과 역량강화를 지원하고, 농업법인 등에게는 유능한 인재를 보다 용이하게 확보하도록 하여 농업의 경쟁력을 제고",
pol_654,2020 경남청년 드림카드사업,"미취업 청년의 사회진입 및 구직에 필요한 다양한 활동 경비 지원, 실업상태 장기화에 따른 미취업청년 생활안정 도모로 사회안전망 강화 ","미취업 청년의 사회진입 및 구직에 필요한 다양한 활동 경비 지원, 실업상태 장기화에 따른 미취업청년 생활안정 도모로 사회안전망 강화",
pol_652,2020 경남형 뉴딜일자리사업,"지역사회에서 필요한 서비스를 제공하고, 참여 청년에게는 질 좋은 일 경험 기회를 제공하고 청년의 직업역량을 배양하여 민간일자리 진입을 촉진 ","지역사회에서 필요한 서비스를 제공하고, 참여 청년에게는 질 좋은 일 경험 기회를 제공하고 청년의 직업역량을 배양하여 민간일자리 진입을 촉진",
pol_637,청년 면접정장 무료대여,도내 구직청년(도내대학생 포함)에게 면접정장 무료 대여,도내 구직청년(도내대학생 포함)에게 면접정장 무료 대여,
pol_560,청년농업인 취농인턴제 지원사업,영농취업희망 청년층을 대상으로 농업법인 인턴 근무 실시로 영농후계자 양성,영농취업희망 청년층을 대상으로 농업법인 인턴 근무 실시로 영농후계자 양성,
pol_547,지역인재 지역살리기 사업,취업발전소 맞춤훈련사업을 수료한 미취업청년과 관내 지역기업 매칭을 통한 청년 취업 지원,취업발전소 맞춤훈련사업을 수료한 미취업청년과 관내 지역기업 매칭을 통한 청년 취업 지원,
pol_546,대학일자리센터 운영 지원,대학 내 진로지도 및 취창업 지원기능 통합연계 등 원스톱 서비스 체제 구축지원을 통해 대학의 취창업 지원역량 강화 및 청년의 원활한 취업 촉진,대학 내 진로지도 및 취창업 지원기능 통합연계 등 원스톱 서비스 체제 구축지원을 통해 대학의 취창업 지원역량 강화 및 청년의 원활한 취업 촉진,
pol_537,청년농업인 취농인턴제,"선도 농업법인 등에서 청년 실무연수를 통해 농업에 관심 있는 젊은 인력의 신규유입과 역량강화 도모 농산업, 농업인, 영농종사자",선도 농업법인 등에서 청년 실무연수를 통해 농업에 관심 있는 젊은 인력의 신규유입과 역량강화 도모,"농산업, 농업인, 영농종사자"
pol_41,청년여성 멘토링 프로젝트,각 분야에서 활동 중인 현장 전문가의 멘토링을 통해 청년 여성들의 진로탐색 기회 제공,각 분야에서 활동 중인 현장 전문가의 멘토링을 통해 청년 여성들의 진로탐색 기회 제공,
pol_38,대학생 국내인턴 사업,"지역대학생들이 직장체험을 통해 사회적응력 및 취업경쟁력 향상에
도움이 될 수 있는 기회 제공  지역인재","지역대학생들이 직장체험을 통해 사회적응력 및 취업경쟁력 향상에
도움이 될 수 있는 기회 제공 ",지역인재
pol_3,대구청년학교 딴길2,진로와 삶의 방향을 고민하는 청년들을 대상으로 진로에 대한 고민과 교육의 장을 제공하여 삶을 주도할 수 있는 역량강화 지원,진로와 삶의 방향을 고민하는 청년들을 대상으로 진로에 대한 고민과 교육의 장을 제공하여 삶을 주도할 수 있는 역량강화 지원,
pol_2665,청년과 문화 상생 프로젝트,문화관련 기업과 청년구직자를 매칭하여 인건비를 지원함으로써 기업과 청년의 지역 정착 유도,문화관련 기업과 청년구직자를 매칭하여 인건비를 지원함으로써 기업과 청년의 지역 정착 유도,
pol_2661,청주시 전략산업(바이오) 고급 연구인력 양성사업,"기업 맞춤형 구인구직 만남의 날 진행 이공계, 이학계열, 공학계열, 이학, 공학",기업 맞춤형 구인구직 만남의 날 진행,"이공계, 이학계열, 공학계열, 이학, 공학"
pol_2660,청년 희망날개 지원사업,취업준비 생활자금 중 큰 비중을 차지하는 면접정장에 대해 무료대여 서비스를 제공하여 청년 구직활동 지원,취업준비 생활자금 중 큰 비중을 차지하는 면접정장에 대해 무료대여 서비스를 제공하여 청년 구직활동 지원,
pol_2632,학생근로 활동 추진,"학생들에게 근로활동 기회를 제공함으로 학비마련에 도움을 주며, 방학동안 학생들의 관내 거주 및 소득창출을 통해 지역경제 활성화 도모 ","학생들에게 근로활동 기회를 제공함으로 학비마련에 도움을 주며, 방학동안 학생들의 관내 거주 및 소득창출을 통해 지역경제 활성화 도모",
pol_2596,동·하계 학생근로활동,"동·하계 방학동안 학생들에게 군정에 참여할 수 있는 기회를 제공하여 군정을 이해하고, 사회 경험을 통한 근로가치의 중요성을 일깨워 주며, 학비 마련에 도움을 줌 ","동·하계 방학동안 학생들에게 군정에 참여할 수 있는 기회를 제공하여 군정을 이해하고, 사회 경험을 통한 근로가치의 중요성을 일깨워 주며, 학비 마련에 도움을 줌",
pol_2584,대학-공공기관 연계 취업 프로그램지원,이전공공기관 지역인재채용을 높이기 위해 대학재학생 및 졸업생에게 취업지원프로그램 제공 지역인재,이전공공기관 지역인재채용을 높이기 위해 대학재학생 및 졸업생에게 취업지원프로그램 제공,지역인재
pol_2581,유기농 청년농업인 인턴 지원사업,"친환경, 유기농업은 실천하는 전문 청년농업인을 육성하고자 활동비를 지원하는 사업임 농산업, 농업인, 영농종사자","친환경, 유기농업은 실천하는 전문 청년농업인을 육성하고자 활동비를 지원하는 사업임","농산업, 농업인, 영농종사자"
pol_2574,충북 청년 기-업 프로젝트,일할 의욕이 높은 미취업 청년에게 일경험 기회 제공 및 취업연계 등 구직활동 지원,일할 의욕이 높은 미취업 청년에게 일경험 기회 제공 및 취업연계 등 구직활동 지원,
pol_2569,청년세대를 위한 평생교육 활성화 지원,청년세대 취업 및 창업 지원 평생교육 프로그램 개발 및 운영하고자 하는 시군을 발굴 지원하는 공모사업,청년세대 취업 및 창업 지원 평생교육 프로그램 개발 및 운영하고자 하는 시군을 발굴 지원하는 공모사업,
pol_2560,청년 구인ㆍ구직 만남 행사,청년 구직자에게 취업면접 기회와 다양한 일자리 정보 제공을 위한 만남 행사 제공,청년 구직자에게 취업면접 기회와 다양한 일자리 정보 제공을 위한 만남 행사 제공,
pol_2559,청년 취업역량강화 지원사업,청년의 다양한 수요를 반영하기 위한 대학별 맞춤 취업 역량강화 프로그램 지원,청년의 다양한 수요를 반영하기 위한 대학별 맞춤 취업 역량강화 프로그램 지원,
pol_2551,청년여성 일자리플랫폼,"- 청년여성 취창업 지원 서비스 제공
- 청년여성 문화 소통 네트워크 사업 및 공간운영 ","- 청년여성 취창업 지원 서비스 제공
- 청년여성 문화 소통 네트워크 사업 및 공간운영",
pol_2547,충청북도 일자리지원센터 운영,계층별 맞춤형 취업지원서비스를 통한 일자리미스매치 해소 및 도내 취업률 제고,계층별 맞춤형 취업지원서비스를 통한 일자리미스매치 해소 및 도내 취업률 제고,
pol_2546,충청북도 취업박람회,"구직자, 구인기업간 만남의 장 마련을 통한 도내 일자리미스매치 해소 및 취업률 제고 ","구직자, 구인기업간 만남의 장 마련을 통한 도내 일자리미스매치 해소 및 취업률 제고",
pol_2540,일 플러스 경험 청년일자리 사업,공공분야 청년 일자리에서 축적한 일 경험을 민간 취?창업으로 연계 지원,공공분야 청년 일자리에서 축적한 일 경험을 민간 취?창업으로 연계 지원,
pol_2522,청년아카데미,디지털시대에 맞추어 미디어 콘텐츠를 직접 생산하고 활용하는 능력을 교육함으로써 청년들의 역량 증진 도모,디지털시대에 맞추어 미디어 콘텐츠를 직접 생산하고 활용하는 능력을 교육함으로써 청년들의 역량 증진 도모,
pol_2498,충남도립대학생 인턴,"충남도립대학생에게 인턴 기회를 제공하여 취업역량 배양 대학재학, 재학생, 재학",충남도립대학생에게 인턴 기회를 제공하여 취업역량 배양,"대학재학, 재학생, 재학"
pol_2489,천안박물관 청년도슨트 운영,청년들에게 실비를 지원하여 박물관 전시운영보조 등 업무 기회 제공,청년들에게 실비를 지원하여 박물관 전시운영보조 등 업무 기회 제공,
pol_2469,청년 면접정장 대여 지원사업,청년의 취업준비기간 장기화에 따른 경제적 부담 해소를 위한 면접용 정장 무료 대여 지원사업을 추진하여 미취업 청년의 취업 지원을 강화,청년의 취업준비기간 장기화에 따른 경제적 부담 해소를 위한 면접용 정장 무료 대여 지원사업을 추진하여 미취업 청년의 취업 지원을 강화,
pol_2461,청년 취업성공패키지,청년의 구직활동과 장기근속을 장려하고 청년의 지역정착을 도모,청년의 구직활동과 장기근속을 장려하고 청년의 지역정착을 도모,
pol_2415,충남 희망이음 프로젝트,"도내 청년과 지역 우수기업 간 상호교류(기업탐방, 채용행사)를 활성화하여 지역기업 취업에 대한 긍정적 인식 제고 및 지역인재 유출방지 강화 ","도내 청년과 지역 우수기업 간 상호교류(기업탐방, 채용행사)를 활성화하여 지역기업 취업에 대한 긍정적 인식 제고 및 지역인재 유출방지 강화",
pol_2414,청년 조기 취업형 계약학과 지원,"도내 계약학과 지원(등록금, 학과운영비, 훈련비 등)을 통한 맞춤형 인력양성으로 중소중견기업의 경쟁력 강화 ","도내 계약학과 지원(등록금, 학과운영비, 훈련비 등)을 통한 맞춤형 인력양성으로 중소중견기업의 경쟁력 강화",
pol_2412,청년일자리허브 Y+센터 운영,"도내 대학일자리센터(2개소)를 지원하여 청년일자리허브 Y+센터를 운영, 대학의 취창업 지원역량 강화, 원활한 노동시장 이행 지원 ","도내 대학일자리센터(2개소)를 지원하여 청년일자리허브 Y+센터를 운영, 대학의 취창업 지원역량 강화, 원활한 노동시장 이행 지원",
pol_2401,충남 잡(job) 페스티벌,"도내 구직자들에게 취업 및 창업, 취업역량 강화 등의 종합 취업지원서비스를 제공함으로써 참여자 모두 만족할 수 있는 상생의 장 마련 ","도내 구직자들에게 취업 및 창업, 취업역량 강화 등의 종합 취업지원서비스를 제공함으로써 참여자 모두 만족할 수 있는 상생의 장 마련",
pol_24,NEW START 청년일자리사업,"지역사회에 필요한 서비스를 제공하고 참여자에게는 일경험 제공 및 직업역량 배양을 통해 참여자의 민간일자리 진입 촉진
- 청년에게 적합한 지역일자리를 발굴 제공하여, 자산형성이 가능한 수준의 소득을 창출하는 지속가능한 경제활동 지원
- 청년에게 전공과 적성을 고려한 일 경험 기회를 제공하여 직무역량을 강화하고 향후 구직활동과 연계 ","지역사회에 필요한 서비스를 제공하고 참여자에게는 일경험 제공 및 직업역량 배양을 통해 참여자의 민간일자리 진입 촉진
- 청년에게 적합한 지역일자리를 발굴 제공하여, 자산형성이 가능한 수준의 소득을 창출하는 지속가능한 경제활동 지원
- 청년에게 전공과 적성을 고려한 일 경험 기회를 제공하여 직무역량을 강화하고 향후 구직활동과 연계",
pol_2373,논산시 중소기업 채용형 인턴지원,"기업에서 청년을 신규채용시 인건비를 지원하여, 기업의 청년추가채용을 촉진하고 청년의 지역정착을 지원 ","기업에서 청년을 신규채용시 인건비를 지원하여, 기업의 청년추가채용을 촉진하고 청년의 지역정착을 지원",
pol_2362,대학생 아르바이트 운영,대학생들이 방학을 이용하여 시정에 참여함으로써 사회생활 경험 및 지역사회에 대한 이해와 자긍심을 갖는 기회 제공,대학생들이 방학을 이용하여 시정에 참여함으로써 사회생활 경험 및 지역사회에 대한 이해와 자긍심을 갖는 기회 제공,
pol_2351,청년 일 성장 프로그램,"- 제주청년이 자신에게 맞는 일자리 선택을 위해다양한 실무 경험을 할 수 있는 기회 제공이 필요
- 실제 산업현장 일 경험을 통해 올바른 직업관 형성, 조직 적응력 향상 및 진로탐색 기회 제공 ","- 제주청년이 자신에게 맞는 일자리 선택을 위해다양한 실무 경험을 할 수 있는 기회 제공이 필요
- 실제 산업현장 일 경험을 통해 올바른 직업관 형성, 조직 적응력 향상 및 진로탐색 기회 제공",
pol_2349,청년취업 희망프로젝트,청년 근로자를 정규직 채용한 기업에 대해 임금 일부를 지원하여 근로자 임금 기준 상향 견인하고 기업주의 부담을 완화하여 청년일자리 창출,청년 근로자를 정규직 채용한 기업에 대해 임금 일부를 지원하여 근로자 임금 기준 상향 견인하고 기업주의 부담을 완화하여 청년일자리 창출,
pol_2344,UCLG(세계지방정부연합) 글로벌 청년문화포럼,"국제적 네트워크를 가진 문화예술기관과의 협력 및 네트워킹을 통한 청년예술가의 글로벌 문화예술 역량강화 및 예술기획, 창작의 기회 제공 인문계, 인문계열, 사회계열, 예체능, 예체능계열","국제적 네트워크를 가진 문화예술기관과의 협력 및 네트워킹을 통한 청년예술가의 글로벌 문화예술 역량강화 및 예술기획, 창작의 기회 제공","인문계, 인문계열, 사회계열, 예체능, 예체능계열"
pol_2328,제주 청년 갭이어(Gap year) 체험 사업,제주를 떠나 다양한 삶을 경험할 기회가 적은 도내 청년들에게 도외에서 갭이어를 통한 배움과 체험의 기회를 제공하여 청년 스스로 향후 자신의 진로에 대한 진지한 고민과 삶의 방향성을 설정해 볼 수 있도록 지원,제주를 떠나 다양한 삶을 경험할 기회가 적은 도내 청년들에게 도외에서 갭이어를 통한 배움과 체험의 기회를 제공하여 청년 스스로 향후 자신의 진로에 대한 진지한 고민과 삶의 방향성을 설정해 볼 수 있도록 지원,
pol_2312,청년취업 역량강화 아카데미,"취업시즌을 앞둔 대학생을 대상으로 저명강사를 활용, 인문학, 경영학 등을 포함하는 직업교육 추진 및 멘토링으로 취업역량 강화 ","취업시즌을 앞둔 대학생을 대상으로 저명강사를 활용, 인문학, 경영학 등을 포함하는 직업교육 추진 및 멘토링으로 취업역량 강화",
pol_2310,청년 우수인재 집중지도 사업,도내 특성화고 및 대학 취업준비생을 대상으로 직업교육 프로그램을 운영하여 직업의식 고취 및 취업률 제고,도내 특성화고 및 대학 취업준비생을 대상으로 직업교육 프로그램을 운영하여 직업의식 고취 및 취업률 제고,
pol_2309,청년인재육성 프로그램 운영,"제주 여건에 맞는 다양한 분야의 인재육성 프로그램 운영
- 취업연계 실무·현장 중심의 네오플제주 아카데미
- 미래청년인재(제주 청소년) 진로체험프로그램 ","제주 여건에 맞는 다양한 분야의 인재육성 프로그램 운영
- 취업연계 실무·현장 중심의 네오플제주 아카데미
- 미래청년인재(제주 청소년) 진로체험프로그램",
pol_2308,우량기업 인턴십 프로그램,우량기업 대상 인턴십(직무체험) 프로그램 운영,우량기업 대상 인턴십(직무체험) 프로그램 운영,
pol_2307,대학생 학업+기업 현장체험 지원사업,"- 고용시장에 본격 진입하기 전 대학생들이 적성에 맞는 일자리를 최종 선택하기까지 기업에서 다양한 일 체험을 할 수 있도록 지원
- 일선 대학생과 대화 시 기업 현장 체험비 지원 희망 요구를 반영한 시책사업으로서 대학생 학점취득+일 경험+학비 마련하기 위함  ","- 고용시장에 본격 진입하기 전 대학생들이 적성에 맞는 일자리를 최종 선택하기까지 기업에서 다양한 일 체험을 할 수 있도록 지원
- 일선 대학생과 대화 시 기업 현장 체험비 지원 희망 요구를 반영한 시책사업으로서 대학생 학점취득+일 경험+학비 마련하기 위함 ",
pol_2301,산업협력형 지역인재육성사업(명칭변경),도-대학-기업체 연계를 통한 특성화 유도 및 기업체 취업을 위한 제주형 지역인재 육성 플랫폼 구성,도-대학-기업체 연계를 통한 특성화 유도 및 기업체 취업을 위한 제주형 지역인재 육성 플랫폼 구성,
pol_2300,지역선도대학육성 사업,도-대학-공공기관 연계를 통하여 지역선도대학 육성 및 지역인재 역량강화 프로그램 운영,도-대학-공공기관 연계를 통하여 지역선도대학 육성 및 지역인재 역량강화 프로그램 운영,
pol_23,희망 up! 행복 북구! 청년일자리 지원사업,"지역사회에 필요한 서비스를 제공하고 참여자에게는 일경험 제공 및 직업역량 배양을 통해 참여자의 민간일자리 진입 촉진
- 청년에게 적합한 지역일자리를 발굴 제공하여, 자산형성이 가능한 수준의 소득을 창출하는 지속가능한 경제활동 지원
- 청년에게 전공과 적성을 고려한 일 경험 기회를 제공하여 직무역량을 강화하고 향후 구직활동과 연계 ","지역사회에 필요한 서비스를 제공하고 참여자에게는 일경험 제공 및 직업역량 배양을 통해 참여자의 민간일자리 진입 촉진
- 청년에게 적합한 지역일자리를 발굴 제공하여, 자산형성이 가능한 수준의 소득을 창출하는 지속가능한 경제활동 지원
- 청년에게 전공과 적성을 고려한 일 경험 기회를 제공하여 직무역량을 강화하고 향후 구직활동과 연계",
pol_2299,대학 핵심역량 강화 지원사업,"대학 구조개혁평가에 대한 능동적 대처 및 취창업 프로그램, 특성화학과 재정 지원을 연계함으로써 도내 대학의 자체 역량 강화 추진 ","대학 구조개혁평가에 대한 능동적 대처 및 취창업 프로그램, 특성화학과 재정 지원을 연계함으로써 도내 대학의 자체 역량 강화 추진",
pol_2295,일하는청년 제주로프로젝트(지역주도형 청년일자리사업),"- 미취업 제주청년들에게 적합한 일자리 창출 지원으로 지역정착 활성화를 통한 유출방지 및 청년실업 해소를 통한 지역 활력 제고
- 지역 내 기업 선 취업 후 교육 및 일 경험을 통해 지역정착 유도 ","- 미취업 제주청년들에게 적합한 일자리 창출 지원으로 지역정착 활성화를 통한 유출방지 및 청년실업 해소를 통한 지역 활력 제고
- 지역 내 기업 선 취업 후 교육 및 일 경험을 통해 지역정착 유도",
pol_2288,청년 Dream 취업박람회,도내 구인기업과 도내 구직자 간 만남의 날을 개최하여 현장 면접의 기회를 제공하고 취업 현장의 미스매치 해소를 통한 고용 활성화,도내 구인기업과 도내 구직자 간 만남의 날을 개최하여 현장 면접의 기회를 제공하고 취업 현장의 미스매치 해소를 통한 고용 활성화,
pol_2287,대학일자리센터 지원사업,대학졸업생 등의 취업난이 심화되고 취업 준비에 애로 호소함에 따라 대학졸업 후 원활한 노동시장으로의 이행을 위해서는 저학년부터 체계적 진로지도와 맞춤형 취업지원 필요,대학졸업생 등의 취업난이 심화되고 취업 준비에 애로 호소함에 따라 대학졸업 후 원활한 노동시장으로의 이행을 위해서는 저학년부터 체계적 진로지도와 맞춤형 취업지원 필요,
